rank	source_id	year	doi	title	venue	type
1	10.1525/si.2003.26.4.515	2003	10.1525/si.2003.26.4.515	Residual Categories and Disciplinary Knowledge: Personal Identity in Sociological and Forensic Investigations	Symbolic Interaction	journal-article
2	10.5860/choice.41-1374	2003	10.5860/choice.41-1374	Shared land/conflicting identity: trajectories of Israeli and Palestinian symbol use	Choice Reviews Online	journal-article
3	10.4135/9781529617702.n1	2023	10.4135/9781529617702.n1	Identity, Unique and Shared	Identity	book-chapter
4	10.4324/9781315876658-5	2013	10.4324/9781315876658-5	Consuming Symbolic Goods: Identity &amp; Commitment – Introduction	Consuming Symbolic Goods	book-chapter
5	10.5860/choice.49-0090	2011	10.5860/choice.49-0090	The Arab-Israeli conflict in the media: producing shared memory and national identity in the global television era	Choice Reviews Online	journal-article
6	10.1037/14127-005	None	10.1037/14127-005	On the choice of symbolic language.	Symbolic logic.	book-chapter
7	10.5040/9781350023031.pt-001	None	10.5040/9781350023031.pt-001	Language and Identity: A Theoretical Perspective	Language, Identity and Symbolic Culture	book-chapter
8	10.7717/peerj-cs.2717/table-2	None	10.7717/peerj-cs.2717/table-2	Table 2: Comparison of nodes and edges between event graph (EG) and Periodic Event Graph (PEG) with residual nodes, classified as simple residual nodes (SR) or periodic residual nodes (PR), leading to various event graph variations.		component
9	10.1525/si.2009.32.3.282	2009	10.1525/si.2009.32.3.282	Nonrepresentational Theory and Symbolic Interactionism: Shared Perspectives and Missed Articulations	Symbolic Interaction	journal-article
10	10.1007/springerreference_59981	None	10.1007/springerreference_59981	Language Choice and Symbolic Domination	SpringerReference	reference-entry
11	10.1109/9780470546512.ch10	2009	10.1109/9780470546512.ch10	Symbolic Signal Flow Graph Methods in SwitchedCapacitor Design	Symbolic Analysis Techniques	book-chapter
12	10.1002/symb.405	2019	10.1002/symb.405	Symbolic Interactionism in Canada: Shared Meaning and the Perpetuation of Ideas	Symbolic Interaction	journal-article
13	10.1108/17542410810858312	2008	10.1108/17542410810858312	Shared identity and strategic choice in dual‐career couples	Gender in Management: An International Journal	journal-article
14	10.1177/1046496416658554	2016	10.1177/1046496416658554	Extending Symbolic Convergence Theory	Small Group Research	journal-article
15	10.5040/9781350023031.pt-002	None	10.5040/9781350023031.pt-002	Urban Discourses	Language, Identity and Symbolic Culture	book-chapter
16	10.1093/oso/9780190657468.003.0001	2017	10.1093/oso/9780190657468.003.0001	Identity Choice	Oxford Scholarship Online	book
17	10.5040/9781350023031.pt-004	None	10.5040/9781350023031.pt-004	Pedagogical Discourse	Language, Identity and Symbolic Culture	book-chapter
18	10.4324/9781410601452-8	2002	10.4324/9781410601452-8	Developing a Socially Shared Symbolic System	Language, Literacy, and Cognitive Development	book-chapter
19	10.5040/9781350023031.pt-003	None	10.5040/9781350023031.pt-003	Marginalized Discourse	Language, Identity and Symbolic Culture	book-chapter
20	10.1002/symb.211	2016	10.1002/symb.211	When Work Ceases to be Identity, Identity Becomes Work	Symbolic Interaction	journal-article
