rank	source_id	year	doi	title	venue	type
1	10.1515/9783110871203.37	None	10.1515/9783110871203.37	Chapter two Suboptimality, redundancy and degeneracy graphs	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
2	10.23919/ecc.2013.6669708	2013	10.23919/ecc.2013.6669708	Explicit MPC of higher-order linear processes via combinatorial multi-parametric quadratic programming	2013 European Control Conference (ECC)	proceedings-article
3	10.1109/cdc.2016.7798609	2016	10.1109/cdc.2016.7798609	On degeneracy in exploration of combinatorial tree in multi-parametric quadratic programming	2016 IEEE 55th Conference on Decision and Control (CDC)	proceedings-article
4	10.1515/9783110871203.365	None	10.1515/9783110871203.365	Chapter ten Possible applications of sensitivity analysis and linear parametric programming	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
5	10.1515/9783110871203.335	None	10.1515/9783110871203.335	Chapter nine Multicriteria linear programming	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
6	10.1515/9783110871203.fm	None	10.1515/9783110871203.fm	Frontmatter	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
7	10.1515/9783110871203.433	None	10.1515/9783110871203.433	Index	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
8	10.1016/s0005-1098(02)00250-9	2003	10.1016/s0005-1098(02)00250-9	An algorithm for multi-parametric quadratic programming and explicit MPC solutions	Automatica	journal-article
9	10.1515/9783110871203.385	None	10.1515/9783110871203.385	Bibliography	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
10	10.1515/9783110871203.381	None	10.1515/9783110871203.381	Annotated bibliography	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
11	10.1515/9783110871203.233	None	10.1515/9783110871203.233	Chapter six Linear parametric programming with respect to c Changing cost coefficents with basis exchange	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
12	10.1109/acc.2005.1470074	None	10.1109/acc.2005.1470074	Attitude control by means of explicit model predictive control, via multi-parametric quadratic programming	Proceedings of the 2005, American Control Conference, 2005.	proceedings-article
13	10.1109/.2001.981048	None	10.1109/.2001.981048	An algorithm for multi-parametric quadratic programming and explicit MPC solutions	Proceedings of the 40th IEEE Conference on Decision and Control (Cat. No.01CH37228)	proceedings-article
14	10.21236/ada100602	1981	10.21236/ada100602	On Parametric Linear and Quadratic Programming Problems.		report
15	10.1002/9781119265245.ch3	2020	10.1002/9781119265245.ch3	Multi‐Parametric Quadratic Programming	Multi‐Parametric Optimization and Control	other
16	10.1515/9783110871203.109	None	10.1515/9783110871203.109	Chapter four Linear parametric programming with respect to b Changing the right-hand side with basis exchange	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
17	10.1109/cdc.2001.981048	None	10.1109/cdc.2001.981048	An algorithm for multi-parametric quadratic programming and explicit MPC solutions	Proceedings of the 40th IEEE Conference on Decision and Control (Cat. No.01CH37228)	proceedings-article
18	10.1515/9783110871203.273	None	10.1515/9783110871203.273	Chapter seven RIM parametric linear programming Simultaneous changing of the right-hand side and of the cost coefficients	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
19	10.1515/9783110871203	1994	10.1515/9783110871203	Postoptimal Analyses, Parametric Programming, and Related Topics		edited-book
20	10.1007/bf01588308	1980	10.1007/bf01588308	Least-index resolution of degeneracy in quadratic programming	Mathematical Programming	journal-article
21	10.1002/9781119265245.ch6	2020	10.1002/9781119265245.ch6	Multi‐parametric Mixed‐integer Quadratic Programming	Multi‐Parametric Optimization and Control	other
22	10.1007/s10898-009-9482-3	2010	10.1007/s10898-009-9482-3	Solving convex quadratic bilevel programming problems using an enumeration sequential quadratic programming algorithm	Journal of Global Optimization	journal-article
23	10.1515/9783110871203.1	1994	10.1515/9783110871203.1	Chapter one Basic concepts and notation in linear programming	Postoptimal Analyses, Parametric Programming, and Related Topics	book-chapter
24	10.1007/bf01584380	1985	10.1007/bf01584380	A unified approach to one-parametric general quadratic programming	Mathematical Programming	journal-article
25	10.1007/bf01584242	1981	10.1007/bf01584242	One way to solve the parametric quadratic programming problem	Mathematical Programming	journal-article
26	10.1109/tmech.2025.3527553/mm1	None	10.1109/tmech.2025.3527553/mm1	Distributed Quadratic Programming for Safe Human Multirobot Interaction Under Task Constraints_supp1-3527553.mp4		component
