rank	source_id	year	doi	title	venue	type
1	10.1002/9781119619727.ch12	2020	10.1002/9781119619727.ch12	Symbolic Heuristic Search	Supervisory Control and Scheduling of Resource Allocation Systems	other
2	10.3390/sym15091713	2023	10.3390/sym15091713	Symmetric Graph-Based Visual Question Answering Using Neuro-Symbolic Approach	Symmetry	journal-article
3	10.1109/etfa.2008.4638383	2008	10.1109/etfa.2008.4638383	Observability analysis of interpreted Petri nets under partial state observations using estimations reachability graph	2008 IEEE International Conference on Emerging Technologies and Factory Automation	proceedings-article
4	10.3390/sym13081475	2021	10.3390/sym13081475	Eulerian and Even-Face Graph Partial Duals	Symmetry	journal-article
5	10.2139/ssrn.6826298	2026	10.2139/ssrn.6826298	Symmetry-Aware Knowledge Graph Compression for LLM Grounding via Symbolic Retrieval		posted-content
6	10.1007/3-540-60029-9_43	1995	10.1007/3-540-60029-9_43	Symbolic reachability graph and partial symmetries	Lecture Notes in Computer Science	book-chapter
7	10.1007/978-3-642-84524-6_13	1991	10.1007/978-3-642-84524-6_13	On Well-Formed Coloured Nets and Their Symbolic Reachability Graph	High-level Petri Nets	book-chapter
8	10.3390/sym10100454	2018	10.3390/sym10100454	An Automatic Algorithm to Generate a Reachability Tree for Large-Scale Fuzzy Petri Net by And/Or Graph	Symmetry	journal-article
9	10.1002/9781119619727.ch8	2020	10.1002/9781119619727.ch8	Informed Heuristic Search in Reachability Graph	Supervisory Control and Scheduling of Resource Allocation Systems	other
10	10.1109/access.2020.3045980	2020	10.1109/access.2020.3045980	Partial Reachability Graph Analysis of Petri Nets for Flexible Manufacturing Systems	IEEE Access	journal-article
11	10.1016/s0304-3975(96)00010-2	1997	10.1016/s0304-3975(96)00010-2	A symbolic reachability graph for coloured petri nets	Theoretical Computer Science	journal-article
12	10.3724/sp.j.1001.2008.03111	2009	10.3724/sp.j.1001.2008.03111	Symbolic Reachability Analysis of Hybrid Systems	Journal of Software	journal-article
13	10.1007/bfb0030598	1997	10.1007/bfb0030598	Model checking through symbolic reachability graph	Lecture Notes in Computer Science	book-chapter
14	10.1109/vtest.1999.766655	None	10.1109/vtest.1999.766655	Partial scan using multi-hop state reachability analysis	Proceedings 17th IEEE VLSI Test Symposium (Cat. No.PR00146)	proceedings-article
15	10.3390/sym14112278	2022	10.3390/sym14112278	A Method Converting Multi-Properties Objective Reachability Problems to Multi-Objective Sets Reachability Problems over FKS	Symmetry	journal-article
16	10.1109/mascots.2010.65	2010	10.1109/mascots.2010.65	A Symbolic Reachability Graph and Associated Markov Process for a Class of Dynamic Petri Nets	2010 IEEE International Symposium on Modeling, Analysis and Simulation of Computer and Telecommunication Systems	proceedings-article
17	10.1016/j.automatica.2017.07.030	2017	10.1016/j.automatica.2017.07.030	Partial state reachability of multiple linear systems in series	Automatica	journal-article
18	10.70675/f273f52az0906z443cza443z172023a62cf5	None	10.70675/f273f52az0906z443cza443z172023a62cf5	Automatic Symbolic Goal Abstraction via Reachability Analysis in Hierarchical Reinforcement Learning		dissertation
19	10.1109/snr39519.2016	2016	10.1109/snr39519.2016	2016 International Workshop on Symbolic and Numerical Methods for Reachability Analysis (SNR)		proceedings
20	10.1145/307418.307430	1999	10.1145/307418.307430	Symbolic reachability analysis of large finite state machines using don't cares	Proceedings of the conference on Design, automation and test in Europe	proceedings-article
21	10.7717/peerjcs.2013/table-5	None	10.7717/peerjcs.2013/table-5	Table 5: Results on the graph class of temporal reachability networks.		component
22	10.1007/978-3-642-15349-5_2	2010	10.1007/978-3-642-15349-5_2	Symbolic and Compositional Reachability for Timed Automata	Lecture Notes in Computer Science	book-chapter
23	10.1360/n112016-00146	2017	10.1360/n112016-00146	Identifying superword level parallelism with directed graph reachability}{Identifying superword level parallelism with directed graph reachability	SCIENTIA SINICA Informationis	journal-article
24	10.1109/date.1999.761091	None	10.1109/date.1999.761091	Symbolic reachability analysis of large finite state machines using don't cares	Design, Automation and Test in Europe Conference and Exhibition, 1999. Proceedings (Cat. No. PR00078)	proceedings-article
25	10.3390/sym15030611	2023	10.3390/sym15030611	A New Best Proximity Point Results in Partial Metric Spaces Endowed with a Graph	Symmetry	journal-article
26	10.1007/978-3-319-45994-3_5	2016	10.1007/978-3-319-45994-3_5	Reachability Predicates for Graph Assertions	Lecture Notes in Computer Science	book-chapter
27	10.1109/snr.2016.7479375	2016	10.1109/snr.2016.7479375	Copyright	2016 International Workshop on Symbolic and Numerical Methods for Reachability Analysis (SNR)	proceedings-article
28	10.3390/sym14081748	2022	10.3390/sym14081748	Graph Algorithms and Graph Theory-Symmetry Special Issue	Symmetry	journal-article
29	10.1006/jsco.2001.0472	2001	10.1006/jsco.2001.0472	Symbolic Reachability Computation for Families of Linear Vector Fields	Journal of Symbolic Computation	journal-article
30	10.29007/249v	None	10.29007/249v	Symbolic-Numeric Reachability Analysis of Hybrid Systems	EPiC Series in Computing	proceedings-article
31	10.1109/snr.2016.7479374	2016	10.1109/snr.2016.7479374	Front cover	2016 International Workshop on Symbolic and Numerical Methods for Reachability Analysis (SNR)	proceedings-article
32	10.7551/mitpress/4283.003.0008	1997	10.7551/mitpress/4283.003.0008	Program Analysis via Graph Reachability	Logic Programming	book-chapter
33	10.1109/synasc.2016.034	2016	10.1109/synasc.2016.034	The Quest for Perfect and Compact Symmetry Breaking for Graph Problems	2016 18th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC)	proceedings-article
34	10.3390/sym18020249	2026	10.3390/sym18020249	Finite-Horizon State Estimation for Multiplex Networks with Random Delays and Sensor Saturations Under Partial Measurements	Symmetry	journal-article
35	10.1016/j.padiff.2022.100465	2023	10.1016/j.padiff.2022.100465	A generalized dispersive water waves system: Conservation laws; symmetry reduction; travelling wave solutions; symbolic computation	Partial Differential Equations in Applied Mathematics	journal-article
36	10.1109/tcds.2025.3605388/mm1	None	10.1109/tcds.2025.3605388/mm1	Graph Reinforcement Learning-based Reachability Map for Generalized Mobile Manipulation_supp1-3605388.mp4		component
37	10.1007/978-3-642-15349-5_13	2010	10.1007/978-3-642-15349-5_13	Efficient Graph Reachability Query Answering Using Tree Decomposition	Lecture Notes in Computer Science	book-chapter
