rank	source_id	year	doi	title	venue	type
1	10.1007/bf01186644	1995	10.1007/bf01186644	A compositional dataflow semantics for Petri nets	Acta Informatica	journal-article
2	10.1007/s002360050029	1995	10.1007/s002360050029	A compositional dataflow semantics for Petri nets	Acta Informatica	journal-article
3	10.1007/3-540-69108-1_9	1998	10.1007/3-540-69108-1_9	A Compositional Petri Net Semantics for SDL	Lecture Notes in Computer Science	book-chapter
4	10.1007/3-540-63139-9_39	1997	10.1007/3-540-63139-9_39	A compositional partial order semantics for Petri net components	Lecture Notes in Computer Science	book-chapter
5	10.1007/3-540-40911-4_19	2000	10.1007/3-540-40911-4_19	A Concurrent and Compositional Petri Net Semantics of Preemption	Lecture Notes in Computer Science	book-chapter
6	10.1016/s0167-6423(01)00004-1	2001	10.1016/s0167-6423(01)00004-1	Compositional high-level Petri net semantics of a parallel programming language with procedures	Science of Computer Programming	journal-article
7	10.3724/sp.j.1001.2011.04018	2011	10.3724/sp.j.1001.2011.04018	Time Petri Net Model with Mixed Semantics	Journal of Software	journal-article
8	10.1007/bfb0018344	None	10.1007/bfb0018344	Compositional relational semantics for indeterminate dataflow networks	Lecture Notes in Computer Science	book-chapter
9	10.1007/978-3-540-68746-7_27	2008	10.1007/978-3-540-68746-7_27	Animated Graphical User Interface Generator Framework for Input-Output Place-Transition Petri Net Models	Lecture Notes in Computer Science	book-chapter
10	10.1007/978-3-662-04457-5_4	2001	10.1007/978-3-662-04457-5_4	Petri Net Semantics	Monographs in Theoretical Computer Science An EATCS Series	book-chapter
11	10.1007/3-540-50580-6_31	1988	10.1007/3-540-50580-6_31	Infinitary partial Petri net languages and their relationship to other Petri net semantics	Lecture Notes in Computer Science	book-chapter
12	10.1109/pnpm.1995.524325	None	10.1109/pnpm.1995.524325	Stochastic Petri net semantics for stochastic process algebras	Proceedings 6th International Workshop on Petri Nets and Performance Models	proceedings-article
13	10.1109/efta.2007.4416858	2007	10.1109/efta.2007.4416858	A graphical editor for the input-output place-transition petri net class	2007 IEEE Conference on Emerging Technologies &amp; Factory Automation (EFTA 2007)	proceedings-article
14	10.1109/indin.2007.4384809	2007	10.1109/indin.2007.4384809	The Input-Output Place-Transition Petri Net Class and Associated Tools	2007 5th IEEE International Conference on Industrial Informatics	proceedings-article
