rank	source_id	year	doi	title	venue	type
1	10.1007/978-3-031-61433-0_9	2024	10.1007/978-3-031-61433-0_9	Token Trail Semantics II - Petri Nets And Their Net Language	Lecture Notes in Computer Science	book-chapter
2	10.1007/978-3-642-02424-5_2	2009	10.1007/978-3-642-02424-5_2	Unifying Petri Net Semantics with Token Flows	Lecture Notes in Computer Science	book-chapter
3	10.7146/brics.v5i17.19423	1998	10.7146/brics.v5i17.19423	A Comparison of Petri Net Semantics under the Collective Token Philosophy	BRICS Report Series	journal-article
4	10.1016/j.ins.2026.123515	2026	10.1016/j.ins.2026.123515	Petri net-driven expanding tent-sine chaotic keystream generator with adaptive token flow for image encryption	Information Sciences	journal-article
5	10.1007/978-3-642-75329-9_5	1992	10.1007/978-3-642-75329-9_5	Individual-Token Nets	Springer Compass International	book-chapter
6	10.1007/3-540-49366-2_18	1998	10.1007/3-540-49366-2_18	A Comparison of Petri Net Semantics under the Collective Token Philosophy	Lecture Notes in Computer Science	book-chapter
7	10.1049/ipr2.70255	2025	10.1049/ipr2.70255	Adaptive Petri Net Token Flow Approach for Enhanced Grayscale Image Segmentation	IET Image Processing	journal-article
8	10.1142/s179300572850041x	2026	10.1142/s179300572850041x	A Petri Net Token-Flow PRNG for Grayscale Image Encryption	New Mathematics and Natural Computation	journal-article
9	10.1145/2590748.2590765	2014	10.1145/2590748.2590765	Token transportation in Petri net models of workflow patterns	Proceedings of the 7th India Software Engineering Conference	proceedings-article
10	10.4028/www.scientific.net/amm.20-23.220	2010	10.4028/www.scientific.net/amm.20-23.220	Web Service Automatic Composition Based on Extended Token of Petri Net	Applied Mechanics and Materials	journal-article
11	10.4108/icst.bict.2014.257936	2015	10.4108/icst.bict.2014.257936	Token Evolution in an Ill-posed Constraint Petri-net	Proceedings of the 8th International Conference on Bio-inspired Information and Communications Technologies (formerly BIONETICS)	proceedings-article
12	10.1109/icmtma.2009.245	2009	10.1109/icmtma.2009.245	Agent-Oriented Boolean Token and Colored Transition Petri Net for Workflow Management	2009 International Conference on Measuring Technology and Mechatronics Automation	proceedings-article
