rank	source_id	year	doi	title	venue	type
80	10.1109/icpp.1993.66	1993	10.1109/icpp.1993.66	Dataflow Graph Optimization for Dataflow Architectures a Dataflow Otimizing Compiler	1993 International Conference on Parallel Processing - ICPP'93 Vol2	proceedings-article
81	10.1007/s004070050040	1999	10.1007/s004070050040	A Likely Source of an Observation Report in Ptolemy's Almagest	Archive for History of Exact Sciences	journal-article
82	10.1007/s00453-007-9152-0	2008	10.1007/s00453-007-9152-0	On the Minimum Feedback Vertex Set Problem: Exact and Enumeration Algorithms	Algorithmica	journal-article
83	10.1103/physreve.47.262	1993	10.1103/physreve.47.262	Exact enumeration of self-avoiding walks on lattices with random site energies	Physical Review E	journal-article
84	10.54216/pmtcs.060106	2026	10.54216/pmtcs.060106	Reversibility of Circular Linear Cellular Automata over Finite Fields: An Exact Enumeration via the Unit Group of the Cyclic Group Algebra	Pure Mathematics for Theoretical Computer Science	journal-article
85	10.1088/1367-2630/11/4/043024	2009	10.1088/1367-2630/11/4/043024	Random sampling versus exact enumeration of attractors in random Boolean networks	New Journal of Physics	journal-article
86	10.1088/0305-4470/26/17/019	1993	10.1088/0305-4470/26/17/019	Exact enumeration of parallel walks on directed lattices	Journal of Physics A: Mathematical and General	journal-article
87	10.1016/s1571-0653(04)00217-3	2001	10.1016/s1571-0653(04)00217-3	Exact Enumeration of Rooted 3-connected Triangular Maps on the Projective Plane (Extended Abstract)	Electronic Notes in Discrete Mathematics	journal-article
88	10.1080/13698030208401659	2002	10.1080/13698030208401659	The internal and external parental couple	Infant Observation	journal-article
89	10.1103/physrevb.41.2244	1990	10.1103/physrevb.41.2244	Exact enumeration of long-range-ordered dimer coverings on the square-planar lattice	Physical Review B	journal-article
90	10.1109/meco.2017.7977122	2017	10.1109/meco.2017.7977122	A DataFlow course: Dataflow supercomputing	2017 6th Mediterranean Conference on Embedded Computing (MECO)	proceedings-article
91	10.1088/0305-4470/21/14/004	1988	10.1088/0305-4470/21/14/004	Exact enumeration method for diffusion-limited aggregation	Journal of Physics A: Mathematical and General	journal-article
92	10.1007/bf00345084	1974	10.1007/bf00345084	A method for observation and enumeration of epilithic algae directly on the surface of stones	Oecologia	journal-article
93	10.1209/0295-5075/123/28001	2018	10.1209/0295-5075/123/28001	Statistical theory of phenotype abundance distributions: A test through exact enumeration of genotype spaces	EPL (Europhysics Letters)	journal-article
94	10.1017/s0305004100036240	1962	10.1017/s0305004100036240	The exact enumeration of self-avoiding walks on a lattice	Mathematical Proceedings of the Cambridge Philosophical Society	journal-article
95	10.1643/ce-10-165	2011	10.1643/ce-10-165	Exact Enumeration of Sires in the Polyandrous Nurse Shark (Ginglymostoma cirratum)	Copeia	journal-article
96	10.1103/physreva.41.682	1990	10.1103/physreva.41.682	Analysis of exact enumeration data for self-avoiding walks attached to a surface	Physical Review A	journal-article
97	10.3390/polym14214536	2022	10.3390/polym14214536	Exact Enumeration Approach to Estimate the Theta Temperature of Interacting Self-Avoiding Walks on the Simple Cubic Lattice	Polymers	journal-article
98	10.1088/0305-4470/18/16/019	1985	10.1088/0305-4470/18/16/019	Examination of the theta -point from exact enumeration of self-avoiding walks	Journal of Physics A: Mathematical and General	journal-article
99	10.3938/jkps.53.873	2008	10.3938/jkps.53.873	Protein Structure Prediction Using a Hybrid Energy Function and an Exact Enumeration	Journal of the Korean Physical Society	journal-article
100	10.1103/physrevb.30.1626	1984	10.1103/physrevb.30.1626	Exact-enumeration approach to random walks on percolation clusters in two dimensions	Physical Review B	journal-article
