rank	openalex_id	year	doi	title	venue	type
44	W3143672905	2003	https://doi.org/10.1109/date.1999.761108	An efficient filter-based approach for combinational verification		conference-paper
45	W2029426531	2006	https://doi.org/10.1016/j.entcs.2005.10.018	Distributed Symbolic Bounded Property Checking	Electronic Notes in Theoretical Computer Science	article
46	W4255287878	2002	https://doi.org/10.1109/date.2000.840044	A BDD-based satisfiability infrastructure using the unate recursive paradigm	Proceedings Design, Automation and Test in Europe Conference and Exhibition 2000 (Cat. No. PR00537)	conference-paper
47	W1508514102	2000	https://doi.org/10.1023/a:1008748802907	Verification of Similar FSMs by Mixing Incremental Re-encoding, Reachability Analysis, and Combinational Checks	Formal Methods in System Design	article
48	W1996072878	2006	https://doi.org/10.1016/j.entcs.2005.10.017	Under-approximation Heuristics for Grid-based Bounded Model Checking	Electronic Notes in Theoretical Computer Science	article
49	W4250604046	2005	https://doi.org/10.1109/aspdac.2004.1337669	Improved symbolic simulation by functional-space decomposition	ASP-DAC 2004: Asia and South Pacific Design Automation Conference 2004 (IEEE Cat. No.04EX753)	conference-paper
50	W2159025070	2011	https://doi.org/10.1109/vlsid.2011.57	A Novel Learning Framework for State Space Exploration Based on Search State Extensibility Relation		conference-paper
51	W4242465259	2003	https://doi.org/10.1109/date.2003.1253597	Fast computation of data correlation using BDDs		conference-paper
52	W778194052	2000	https://doi.org/10.1007/978-1-4757-6048-4_49	Communication Complexity and BDD Lower Bound Techniques		book-chapter
53	W103077850	2009	https://doi.org/10.1007/978-1-4419-0950-3_3	Computing Leakage Current Distributions		book-chapter
54	W113060590	2006	https://doi.org/10.1007/1-4020-8068-9_11	Verification of Large Scale Nano Systems with Unreliable Nano Devices	Kluwer Academic Publishers eBooks	book-chapter
55	W1554981187	2004	https://doi.org/10.1109/date.2004.1268825	Improved symoblic simulation by dynamic funtional space partitioning [symoblic read symbolic] [funtional read functional]		conference-paper
56	W1983996764	2012	https://doi.org/10.4204/eptcs.99.8	Lex-Partitioning: A New Option for BDD Search	Electronic Proceedings in Theoretical Computer Science	article
57	W2053816897	2001	https://doi.org/10.1109/92.953500	Delay fault testing of IP-based designs via symbolic path modeling	IEEE Transactions on Very Large Scale Integration (VLSI) Systems	article
58	W2085297107	2004	https://doi.org/10.1109/hldvt.2004.1431234	On using a 2-domain partitioned OBDD data structure in verification		conference-paper
59	W2168267508	2006	https://doi.org/10.1109/dft.2006.34	Implicit Critical PDF Test Generation with Maximal Test Efficiency	Proceedings	conference-paper
60	W2594836514	2015	https://doi.org/10.1109/iccicct.2015.7475273	Novelty in architecture of ROBDD for the minimization of interconnect delay		conference-paper
61	W3146790474	2002	https://doi.org/10.1109/aspdac.2000.835072	Automatic partitioning for efficient combinational verification		conference-paper
62	W3147292023	2006	https://doi.org/10.1109/dac.2006.229400	Fast falsification based on symbolic bounded property checking	Proceedings - ACM IEEE Design Automation Conference	conference-paper
63	W4390506797	2024	https://doi.org/10.3990/1.9789036559744	Probabilistic inference using partitioned bayesian networks : introducing a compositional framework		dissertation
