rank	openalex_id	year	doi	title	venue	type
56	W2155539595	2011	https://doi.org/10.1145/2001420.2001425	Symbolic execution with mixed concrete-symbolic solving		conference-paper
57	W2162653489	2015	https://doi.org/10.1007/978-3-319-17524-9_23	Conflict-Directed Graph Coverage	Lecture notes in computer science	conference-paper
58	W2165751179	2010	https://doi.org/10.1145/1882291.1882330	Directed test suite augmentation		conference-paper
59	W2168625647	2008	https://doi.org/10.1109/ase.2008.32	Test-Suite Augmentation for Evolving Software		conference-paper
60	W2169063148	2010	https://doi.org/10.1145/1831708.1831732	Parallel symbolic execution for structural test generation		conference-paper
61	W2171469152	2008	https://doi.org/10.1007/978-3-540-78800-3_28	Demand-Driven Compositional Symbolic Execution	Lecture notes in computer science	conference-paper
62	W2397864009	2014		Reducing test cases with causality partitions	Software Engineering and Knowledge Engineering	article
63	W4234735799	1999	https://doi.org/10.1007/3-540-48166-4_19	An Efficient Relevant Slicing Method for Debugging	Lecture notes in computer science	conference-paper
64	W4235555510	2013	https://doi.org/10.1109/icse.2013.6606649	JST: An automatic test generation tool for industrial Java applications with strings		conference-paper
65	W4236200536	2002	https://doi.org/10.1109/icse.1994.296778	Experiments on the effectiveness of dataflow- and control-flow-based test adequacy criteria		conference-paper
66	W4245509418	2015	https://doi.org/10.1109/icse.2015.46	A Synergistic Analysis Method for Explaining Failed Regression Tests		conference-paper
67	W4246117430	2015	https://doi.org/10.1109/icse.2015.80	Regular Property Guided Dynamic Symbolic Execution		conference-paper
68	W4246385123	2007	https://doi.org/10.1145/1190216.1190226	Compositional dynamic test generation		conference-paper
69	W4248280766	2005	https://doi.org/10.1145/1108792.1108817	Generalizing symbolic execution to library classes		conference-paper
70	W4249100736	2013	https://doi.org/10.1109/icse.2013.6606576	Partition-based regression verification		conference-paper
