rank	openalex_id	year	doi	title	venue	type
52	W2186645324	2013		SEMANTIC ANALYSES TO DETECT AND LOCALIZE SOFTWARE REGRESSION ERRORS	National University of Singapore	dissertation
53	W2530331075	2014		DASE: Document-Assisted Symbolic Execution for Improving Automated Test Generation	UWSpace (University of Waterloo)	dissertation
54	W2403990000	2011	https://doi.org/10.48550/arxiv.1112.4703	Abstracting Path Conditions for Effective Symbolic Execution	arXiv (Cornell University)	preprint
55	W2951281226	2012	https://doi.org/10.48550/arxiv.1201.4715	Compact Symbolic Execution	arXiv (Cornell University)	preprint
56	W1500010939	2012	https://doi.org/10.48550/arxiv.1201.6033	Compact Symbolic Execution (technical report)	arXiv (Cornell University)	preprint
57	W2101264565	2012	https://doi.org/10.5555/2663608.2663636	All-values symbolic execution	Automation of Software Test	article
58	W2169308414	2014	https://doi.org/10.1145/2590748.2590751	Operational abstractions of model transforms		conference-paper
59	W24006358	2017	https://doi.org/10.1002/asia.201300704	Multi-Point Stride Coverage: A New Genre Of Test Coverage Criteria	Chemistry - An Asian Journal	book
60	W2947488672	2019		Improving Software Dependability through Documentation Analysis	UWSpace (University of Waterloo)	dissertation
61	W3141167149	2012	https://doi.org/10.1109/iwast.2012.6228982	All-values symbolic execution		conference-paper
62	W4226018013	2022	https://doi.org/10.1145/3530786	Mutation Testing in Evolving Systems: Studying the Relevance of Mutants to Code Evolution	ACM Transactions on Software Engineering and Methodology	article
